Date,市場名稱,絲瓜,花胡瓜,結球白菜,蘿蔔,胡蘿蔔,青蔥,胡瓜,青江白菜,空心菜,甘藍,香蕉,番石榴_珍珠,鳳梨_開英,荔枝_黑葉,火龍果_紅肉,芒果_愛文,木瓜,文旦,新世紀梨,檸檬,鳳梨_四號,火龍果_白肉,新興梨,橫山梨,牛心柿,甜柿,紅柿_軟柿,桶柑,椪柑,海梨柑,鳯梨_金鑽,柳橙,蓮霧,棗子,茂谷柑,芒果,大西瓜,小番茄_玉女,小番茄_聖女,花椰菜,洋蔥,大蒜,吳郭魚,虱目魚,金目鱸,龍虎班,午仔魚,白蝦,文蛤,里肌肉,後腿肉,五花肉,牛腱_冷凍牛肉,腿肉_冷凍牛肉,腩肉_冷凍牛肉,雞蛋,鴨蛋,肉雞,土雞,仿雞,鴨_土番鴨
21/03/2020,沙鹿市場,25,20,25,20,18,50,30,25,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,120,50,100,200,260,200,350,120,160,130,160,220,220,240,30,32,130,140,130,130
22/03/2020,第五市場,50,0,40,50,30,50,40,75,0,0,30,60,0,0,0,0,80,0,0,70,0,0,60,0,0,60,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,大甲第二市場,35,38,25,28,28,30,30,20,0,20,0,0,0,0,0,0,55,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,南屯市場,45,35,15,18,22,45,30,15,38,15,40,50,40,0,0,60,100,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,東光市場,40,55,28,25,25,50,35,35,30,20,35,39,0,0,75,120,39,0,0,50,32,85,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,第二市場,65,65,28,25,25,70,35,30,40,32,40,45,0,0,0,100,60,0,0,50,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,清水第一市場,35,35,20,15,20,30,25,20,35,20,40,40,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,中義市場,30,50,25,15,20,70,25,30,30,35,25,35,0,0,65,0,35,0,0,39,25,65,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,建國市場,30,30,20,15,20,30,25,20,20,20,30,25,20,0,85,100,35,0,0,30,25,120,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,梧棲第一市場,29,40,40,25,22,75,33,33,33,40,32,33,0,0,50,0,33,0,50,50,33,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,第三市場,30,25,35,20,25,80,20,20,20,40,35,0,0,0,0,0,40,0,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,合作市場,35,25,25,2,25,75,30,20,20,40,35,35,68,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2020,沙鹿市場,25,20,25,25,20,60,30,25,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,120,60,100,200,260,240,300,130,150,140,160,230,240,250,30,33,130,140,140,130
23/03/2020,東光市場,40,55,28,25,25,50,35,35,30,20,35,39,0,0,75,120,39,0,0,50,32,85,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,第二市場,65,65,28,25,25,70,35,30,40,32,40,45,0,0,0,100,60,0,0,50,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,清水第一市場,35,35,20,15,20,30,25,20,35,20,40,40,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,第五市場,50,0,40,50,30,50,40,75,0,0,30,60,0,0,0,0,80,0,0,70,0,0,65,0,0,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,中義市場,30,50,25,15,20,70,25,30,30,35,25,35,0,0,65,0,35,0,0,39,25,65,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,建國市場,30,30,20,15,20,30,25,20,20,20,30,25,20,0,85,100,35,0,0,30,25,120,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,梧棲第一市場,25,40,40,25,22,75,33,35,35,35,30,33,0,0,55,0,33,0,50,50,33,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,第三市場,35,30,25,20,20,80,20,20,20,40,35,35,68,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,合作市場,35,25,25,20,25,80,25,20,20,40,35,35,68,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/03/2020,南屯市場,45,35,15,18,22,45,30,15,38,15,40,50,40,0,0,60,100,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,60,60,0,0,130,64,80,0,0,50,0,0,130,90,140,230,230,230,50,61,0,120,0,100
23/03/2020,沙鹿市場,25,20,25,25,18,60,35,30,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,120,60,120,180,240,250,350,120,150,130,160,240,240,250,30,35,130,140,130,130
24/03/2020,中義市場,35,60,30,15,20,70,30,30,30,45,25,34,0,0,65,0,39,0,0,65,28,65,0,0,0,0,0,30,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/03/2020,東光市場,40,55,28,25,25,50,35,35,30,20,35,39,0,0,90,120,45,0,0,35,32,110,0,0,0,0,0,45,0,0,32,20,90,120,65,0,0,150,0,30,25,80,80,90,145,0,300,300,120,140,120,130,260,0,260,38,60,90,135,120,110
24/03/2020,清水第一市場,35,50,20,15,20,30,30,20,35,20,40,30,0,0,0,0,50,0,0,80,0,0,0,0,0,0,0,0,0,0,25,25,120,90,45,0,0,170,0,25,20,50,50,80,96,160,220,200,80,135,115,125,200,160,180,38,46,85,110,110,90
24/03/2020,豐原第一市場,45,60,25,25,30,50,40,40,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,80,140,160,100,160,380,200,130,140,120,140,180,200,240,38,56,80,100,100,340
24/03/2020,大甲第二市場,30,50,30,20,25,35,28,22,0,18,0,0,0,0,0,0,50,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,120,5,6,0,0,0,0,0,135,120,135,180,150,0,0,0,90,120,0,100
24/03/2020,中義市場,30,50,20,15,20,70,25,28,28,35,25,34,0,0,65,0,39,0,0,39,25,65,0,0,0,0,0,35,0,35,28,25,59,45,0,0,0,100,65,25,35,90,4,8,0,0,10,0,130,110,100,130,130,130,120,38,45,130,140,120,90
